cohort,epoch,patient_id,nfe,psnr_db,ssim,psnr_db_wt,ssim_wt,psnr_db_bg,ssim_bg,latent_mse,latent_l1,latent_cosine,gen_sec,decode_sec
BraTS-GLI,3,BraTS-GLI-00687-000,20,24.969818115234375,0.8861996531486511,17.333866119384766,0.9865058660507202,25.215330123901367,0.8952994346618652,1.5823105573654175,0.996046781539917,0.15340955555438995,0.8719072081148624,1.0964206224307418
BraTS-GLI,3,BraTS-GLI-01155-000,1,23.833646774291992,0.1928580105304718,14.209569931030273,0.9653352499008179,24.797441482543945,0.21106722950935364,0.8884390592575073,0.7451242208480835,0.3153005838394165,0.0523368064314127,1.0527518959715962
BraTS-GLI,3,BraTS-GLI-01155-000,2,24.573299407958984,0.4864398241043091,14.313989639282227,0.9664047360420227,25.732181549072266,0.5065896511077881,1.078597068786621,0.8210950493812561,0.20706596970558167,0.09467826504260302,1.0343686463311315
BraTS-GLI,3,BraTS-GLI-01155-000,5,24.788949966430664,0.8585430979728699,14.260376930236816,0.97109055519104,26.042644500732422,0.8791435956954956,1.366661548614502,0.9254654049873352,0.15102218091487885,0.2219559969380498,1.0901010753586888
BraTS-GLI,3,BraTS-GLI-01155-000,10,24.844863891601562,0.8571666479110718,14.391082763671875,0.9749525189399719,26.071422576904297,0.8778010010719299,1.517284631729126,0.9764550924301147,0.13586188852787018,0.4364722780883312,1.0927369184792042
BraTS-GLI,3,BraTS-GLI-01155-000,20,24.825077056884766,0.8548731803894043,14.83181381225586,0.9753442406654358,25.897689819335938,0.8752756118774414,1.590126872062683,0.999613344669342,0.1285449117422104,0.8625711062923074,1.1478035235777497
IvyGAP,3,W39,1,23.915813446044922,0.17438960075378418,11.705336570739746,0.9753725528717041,25.26089096069336,0.188320130109787,0.883258044719696,0.7438323497772217,0.31752094626426697,0.047828830778598785,1.1412321478128433
IvyGAP,3,W39,2,23.802738189697266,0.36030569672584534,12.039321899414062,0.9781585931777954,24.986753463745117,0.3753639757633209,1.0597105026245117,0.8144994974136353,0.212770015001297,0.09490246139466763,1.1042312625795603
IvyGAP,3,W39,5,24.400859832763672,0.8938899040222168,11.83888053894043,0.977993905544281,25.88970947265625,0.9103243947029114,1.3161240816116333,0.9090512990951538,0.15775248408317566,0.22543250489979982,1.0957434764131904
IvyGAP,3,W39,10,24.81555938720703,0.9009762406349182,11.51154899597168,0.9742831587791443,26.66965675354004,0.9180098176002502,1.4838201999664307,0.9654260277748108,0.13992653787136078,0.4349424634128809,1.165843341499567
